               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,             0.18796,            0.025208,            0.019908,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.08754,            0.002102,            0.002102
                   2,             0.17778,             0.02278,            0.011148,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.076578,           0.0030364,           0.0030364
                   3,             0.17233,            0.022469,           0.0062182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.065502,           0.0038562,           0.0038562
                   4,             0.16334,             0.02258,           0.0044633,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.054311,           0.0045615,           0.0045615
                   5,             0.16043,             0.02226,           0.0041175,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.043005,           0.0051523,           0.0051523
                   6,             0.15702,            0.023023,           0.0035123,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.031585,           0.0056285,           0.0056285
                   7,             0.15037,            0.020857,           0.0028755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.02005,           0.0059902,           0.0059902
                   8,             0.14907,            0.022059,           0.0027881,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084003,           0.0062373,           0.0062373
                   9,             0.14372,            0.019845,           0.0029387,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058439,           0.0058439,           0.0058439
                  10,              0.1417,            0.021611,           0.0023056,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058439,           0.0058439,           0.0058439
                  11,             0.13833,            0.021239,           0.0020962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053232,           0.0053232,           0.0053232
                  12,             0.13607,            0.019306,           0.0015234,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048026,           0.0048026,           0.0048026
                  13,             0.13281,            0.021515,           0.0014524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042819,           0.0042819,           0.0042819
                  14,             0.12668,            0.019332,           0.0013157,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037612,           0.0037612,           0.0037612
                  15,             0.12345,            0.019768,           0.0014053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032405,           0.0032405,           0.0032405
                  16,             0.12435,            0.019099,           0.0011881,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027198,           0.0027198,           0.0027198
                  17,             0.12258,            0.018709,           0.0010686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021992,           0.0021992,           0.0021992
                  18,             0.11844,            0.018639,          0.00096482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016785,           0.0016785,           0.0016785
                  19,             0.11763,            0.019899,           0.0008112,             0.59679,             0.25393,             0.24355,            0.081688,             0.11353,            0.012329,           0.0015676,           0.0011578,           0.0011578,           0.0011578
                   0,             0.21364,            0.030349,            0.035667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.078246,            0.001053,            0.001053
                   1,             0.19463,            0.023189,            0.022464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06986,           0.0021019,           0.0021019
                   2,             0.18456,            0.018835,            0.011049,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.06136,           0.0030361,           0.0030361
                   3,             0.18016,            0.018101,           0.0057843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.052745,           0.0038557,           0.0038557
                   4,             0.17003,            0.018077,           0.0035237,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.044015,           0.0045607,           0.0045607
                   5,             0.16977,            0.017722,           0.0032298,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03517,            0.005151,            0.005151
                   6,             0.16462,            0.018507,           0.0026603,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.026211,           0.0056267,           0.0056267
                   7,              0.1589,            0.016672,           0.0023491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017138,           0.0059877,           0.0059877
                   8,             0.15921,            0.018103,           0.0021954,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079496,           0.0062342,           0.0062342
                   9,             0.15399,            0.015772,            0.002225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058403,           0.0058403,           0.0058403
                  10,             0.15211,            0.017274,           0.0016541,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058403,           0.0058403,           0.0058403
                  11,             0.14593,            0.017479,           0.0016991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053192,           0.0053192,           0.0053192
                  12,             0.14423,            0.015691,           0.0015014,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047982,           0.0047982,           0.0047982
                  13,             0.14159,            0.017616,            0.001238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042771,           0.0042771,           0.0042771
                  14,             0.13695,            0.015777,           0.0010797,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003756,            0.003756,            0.003756
                  15,             0.13354,             0.01634,           0.0012638,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032349,           0.0032349,           0.0032349
                  16,             0.13342,            0.016076,           0.0010948,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027138,           0.0027138,           0.0027138
