               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.058954,            0.015287,          0.00032995,             0.68347,             0.35741,             0.40234,             0.14481,            0.063164,            0.014726,           0.0012997,           0.0059437,           0.0059437,           0.0059437
                  54,            0.058594,            0.015426,          0.00029922,             0.73942,             0.34265,             0.39671,             0.14766,            0.061864,            0.014367,          0.00064001,           0.0058224,           0.0058224,           0.0058224
                  55,            0.060487,            0.015524,          0.00026719,             0.68868,             0.35393,             0.38316,             0.15585,            0.062111,            0.014333,           0.0012706,           0.0057012,           0.0057012,           0.0057012
                  56,            0.059961,            0.015405,          0.00022126,             0.72617,             0.35115,             0.40666,             0.16092,            0.061766,            0.013949,           0.0013097,           0.0055799,           0.0055799,           0.0055799
                  57,            0.059602,            0.017304,          0.00020556,             0.78668,             0.35641,             0.42359,             0.14783,            0.060455,            0.013916,            0.001457,           0.0054586,           0.0054586,           0.0054586
                  58,            0.058009,            0.016332,          0.00025212,             0.71912,             0.36263,              0.4429,             0.17556,            0.060474,             0.01344,           0.0011604,           0.0053373,           0.0053373,           0.0053373
                  59,            0.057324,            0.016391,          0.00023456,             0.65355,             0.34811,             0.39925,             0.15765,            0.062035,            0.013669,          0.00082494,           0.0052161,           0.0052161,           0.0052161
                  60,            0.057038,            0.015455,          0.00024855,             0.66171,             0.41177,              0.4361,             0.18358,            0.061657,            0.014149,          0.00085088,           0.0050948,           0.0050948,           0.0050948
                  61,            0.057725,            0.015298,          0.00026142,             0.60098,             0.42089,             0.42586,             0.17726,            0.060817,            0.014337,           0.0010654,           0.0049735,           0.0049735,           0.0049735
                  62,            0.058344,            0.015843,          0.00022258,             0.81155,             0.34948,             0.41826,             0.18424,            0.060302,            0.014471,           0.0014033,           0.0048522,           0.0048522,           0.0048522
                  63,            0.056363,            0.015418,          0.00034501,             0.56607,             0.40378,             0.41164,              0.1766,            0.059925,             0.01459,          0.00088581,            0.004731,            0.004731,            0.004731
                  64,            0.057997,            0.015677,          0.00020011,             0.59551,             0.37308,             0.40301,             0.16845,             0.06023,             0.01483,          0.00051369,           0.0046097,           0.0046097,           0.0046097
